Review,Review note,Title,Title (de),Title (ru),Title (uk),Title (ar),Title (tr),Starts at,Ends at,All day,Place name,Address,District,Provider name,Min age (years),Max age (years),Languages,Activity categories,Price type,Price text,Event link,Description (English),Description (de),Description (ru),Description (uk),Description (ar),Description (tr),Source link,ID
,,Brundibár – family concert of the Dresdner Philharmonie,Brundibár – Familienkonzert,«Брундибар» — семейный концерт Дрезденской филармонии,«Брундібар» — родинний концерт Дрезденської філармонії,«برونديبار» – حفل عائلي لأوركسترا دريسدن الفيلهارمونية,Brundibár – Dresden Filarmoni aile konseri,2026-10-03 11:00,2026-10-03 12:00,no,"Kulturpalast, Konzertsaal","Schloßstraße 2 (Eingang Altmarkt), 01067 Dresden",Altstadt,,,,de,music;theatre,paid,"€14; reduced: €6 pupils under 18, €10 under 30, €7 Dresden-Pass (optional FLEX fee +€6). Few tickets left (""Restkarten"") on 26 Sep",https://www.dresdnerphilharmonie.de/de/konzerte-tickets/konzertkalender-dresden/brundibar_2/?datum=2026-10-03,"Semi-staged children's opera by Hans Krása: Aninka and Pepíček want to sing on the market square for their sick mother and, helped by a dog, a cat, a sparrow and the town's children, stand up to the organ grinder Brundibár. With the Philharmonic Children's Choir. About 1 hour.","Halbszenische Kinderoper von Hans Krása: Aninka und Pepíček wollen auf dem Marktplatz für ihre kranke Mutter singen und behaupten sich mit Hund, Katze, Spatz und den Kindern der Stadt gegen den Drehorgelmann Brundibár. Mit dem Philharmonischen Kinderchor Dresden. Ca. 1 Std. ohne Pause.","Полусценическая детская опера Ганса Красы: Анинка и Пепичек хотят петь на рыночной площади ради больной мамы и с помощью собаки, кошки, воробья и детей города дают отпор шарманщику Брундибару. С Детским хором Дрезденской филармонии. Около 1 часа без антракта.","Напівсценічна дитяча опера Ганса Краси: Анінка і Пепічек хочуть співати на ринковій площі заради хворої мами і з допомогою собаки, кішки, горобця та дітей міста дають відсіч катеринщику Брундібару. З Дитячим хором Дрезденської філармонії. Близько 1 години без антракту.",أوبرا للأطفال بإخراج شبه مسرحي لهانز كراسا: يريد أنينكا وبيبيتشيك الغناء في ساحة السوق من أجل أمهما المريضة، وبمساعدة كلب وقطة وعصفور وأطفال المدينة يتصديان لعازف الأرغن اليدوي برونديبار. مع جوقة الأطفال الفيلهارمونية في دريسدن. نحو ساعة دون استراحة.,"Hans Krása'nın yarı sahnelenmiş çocuk operası: Aninka ve Pepíček hasta anneleri için pazar meydanında şarkı söylemek ister; bir köpek, bir kedi, bir serçe ve kentin çocuklarının yardımıyla laterna çalan Brundibár'a karşı koyarlar. Filarmoni Çocuk Korosu ile. Yaklaşık 1 saat, arasız.",https://www.dresdnerphilharmonie.de/de/konzerte-tickets/konzertkalender-dresden/brundibar_2/?datum=2026-10-03,b00a9292-837c-4758-9dd6-3b44b6c83613
,,Spanish film afternoon for children: Ferdinand the bull,Spanischer Filmnachmittag für Kinder,Испанский кинопоказ для детей: бычок Фердинанд,Іспанський кінопоказ для дітей: бичок Фердинанд,عصرية أفلام إسبانية للأطفال: الثور فرديناند,Çocuklar için İspanyolca film öğleden sonrası: Boğa Ferdinand,2026-10-04 15:30,2026-10-04 17:00,no,Filmgalerie Dresden,"Altenberger Straße 26, 01277 Dresden",Blasewitz,,,,es;de,languages,free,Free admission,https://www.dresden.de/apps_ext/IKT/event/f593af68-899e-44ee-b7b1-0b6c54e26bce,"DresdeÑoles e.V. screens a film about Ferdinand, the good-natured bull who does not want to end up in the bullring – in Spanish with German subtitles. Intercultural Days, in cooperation with Filmgalerie Dresden e.V. Free.","DresdeÑoles e. V. zeigt einen Film über den gutmütigen Stier Ferdinand, der nicht in der Stierkampfarena landen will – in spanischer Sprache mit deutschen Untertiteln. Interkulturelle Tage, in Kooperation mit dem Filmgalerie Dresden e. V. Eintritt frei.","DresdeÑoles e. V. показывает фильм о добродушном быке Фердинанде, который не хочет попасть на арену корриды, — на испанском языке с немецкими субтитрами. Межкультурные дни, совместно с Filmgalerie Dresden e. V. Вход свободный.","DresdeÑoles e. V. показує фільм про добродушного бика Фердинанда, який не хоче потрапити на арену кориди, — іспанською мовою з німецькими субтитрами. Міжкультурні дні, спільно з Filmgalerie Dresden e. V. Вхід вільний.",تعرض جمعية DresdeÑoles e. V. فيلمًا عن الثور الطيب فرديناند الذي لا يريد أن ينتهي في حلبة مصارعة الثيران، باللغة الإسبانية مع ترجمة ألمانية. ضمن الأيام بين الثقافات، بالتعاون مع Filmgalerie Dresden e. V. الدخول مجاني.,"DresdeÑoles e. V., boğa güreşi arenasına düşmek istemeyen iyi kalpli boğa Ferdinand hakkındaki bir filmi İspanyolca ve Almanca altyazılı gösteriyor. Kültürlerarası Günler, Filmgalerie Dresden e. V. iş birliğiyle. Giriş ücretsiz.",https://www.dresden.de/apps_ext/IKT/event/f593af68-899e-44ee-b7b1-0b6c54e26bce,633a5c2f-9ef4-4f8d-bfe2-85c487727041
,,Enna Miau: The little autumn bee – interactive reading,Enna Miau: Die kleine Herbstbiene,Enna Miau: «Маленькая осенняя пчёлка» — интерактивное чтение,Enna Miau: «Маленька осіння бджілка» — інтерактивне читання,Enna Miau: «النحلة الخريفية الصغيرة» – قراءة تفاعلية,Enna Miau: Küçük Sonbahar Arısı – interaktif okuma,2026-10-04 16:30,2026-10-04 17:15,no,Bibliothek Neustadt,"Königsbrücker Straße 26, 01099 Dresden",Neustadt,,4,,de,library;nature;music,free,Free; registration by e-mail with Bibliothek Neustadt,https://www.bibo-dresden.de/de/events-kids/neustadt/20261004_Neustadt_Familiensonntag.php,"Interactive reading for the whole family: with projector, ukulele and Millie the bee, Enna Miau tells an adventure about mushrooms, bees and their neighbours living in symbiosis. For children from 4 and families. Free; register with the library by e-mail.","Interaktive Lesung für die ganze Familie: Mit Beamer, Ukulele und Biene Millie erzählt Enna Miau ein Abenteuer über Pilze, Bienen und ihre Nachbarn, die in Symbiose leben. Für Kinder ab 4 Jahren und Familien. Eintritt frei; Anmeldung per E-Mail bei der Bibliothek Neustadt.","Интерактивное чтение для всей семьи: с проектором, укулеле и пчёлкой Милли Enna Miau рассказывает приключенческую историю о грибах, пчёлах и их соседях, живущих в симбиозе. Для детей от 4 лет и семей. Бесплатно; запись по e-mail в библиотеке.","Інтерактивне читання для всієї родини: з проєктором, укулеле та бджілкою Міллі Enna Miau розповідає пригодницьку історію про гриби, бджіл та їхніх сусідів, що живуть у симбіозі. Для дітей від 4 років і родин. Безкоштовно; реєстрація через e-mail бібліотеки.",قراءة تفاعلية للعائلة كلها: مع جهاز العرض والأوكوليلي والنحلة ميلي، تروي Enna Miau مغامرة عن الفطر والنحل وجيرانها الذين يعيشون في تكافل. للأطفال من عمر 4 سنوات والعائلات. مجانًا؛ التسجيل بالبريد الإلكتروني لدى المكتبة.,"Tüm aile için interaktif okuma: projeksiyon, ukulele ve arı Millie ile Enna Miau; mantarlar, arılar ve simbiyoz içinde yaşayan komşuları hakkında bir macera anlatıyor. 4 yaş üstü çocuklar ve aileler için. Ücretsiz; kütüphaneye e-postayla kayıt.",https://www.bibo-dresden.de/de/events-kids/neustadt/20261004_Neustadt_Familiensonntag.php,939f9efd-23c8-4a29-93d7-980afe6d68e6
,,Picture-book cinema at Kita Pat's Dahlienheim,Bilderbuchkino in der Integrativen Kita Pat's Dahlienheim,Кино по книжке с картинками в детском саду Pat's Dahlienheim,Кіно за книжкою з картинками в дитячому садку Pat's Dahlienheim,سينما الكتب المصورة في روضة Pat's Dahlienheim,Pat's Dahlienheim Kreşi'nde resimli kitap sineması,2026-10-07 15:30,2026-10-07 17:00,no,Integrative Kita Pat's Dahlienheim,"Am Dahlienheim 21, 01257 Dresden",Leuben,,3,6,de,library;school_kita,free,"Free; registration by 5 Oct with the Kita (phone or e-mail, see event page)",https://www.dresden.de/apps_ext/IKT/event/df12e1d0-0277-429e-abb4-fef2ff889870,"The team of the inclusive Kita Pat's Dahlienheim invites families with children aged 3–6 to a picture-book cinema: a surprise story for ages 3–4 at 15:30 and for ages 5–6 at 16:15, with biscuits, drinks and time to chat. Part of the Intercultural Days.","Das Team der integrativen Kita Pat's Dahlienheim lädt Familien mit Kindern von 3 bis 6 Jahren zum Bilderbuchkino ein: um 15:30 Uhr eine Überraschungsgeschichte für 3- bis 4-Jährige, um 16:15 Uhr für 5- bis 6-Jährige, dazu Kekse, Getränke und Zeit zum Austausch. Im Rahmen der Interkulturellen Tage; kostenfrei, Anmeldung bis 5. Oktober.","Команда инклюзивного детского сада Pat's Dahlienheim приглашает семьи с детьми от 3 до 6 лет: в 15:30 сказка-сюрприз для детей 3–4 лет, в 16:15 – для детей 5–6 лет, а также печенье, напитки и время для общения. В рамках Межкультурных дней; бесплатно, запись до 5 октября.","Команда інклюзивного дитячого садка Pat's Dahlienheim запрошує родини з дітьми від 3 до 6 років: о 15:30 історія-сюрприз для дітей 3–4 років, о 16:15 – для дітей 5–6 років, а також печиво, напої та час для спілкування. У межах Міжкультурних днів; безкоштовно, реєстрація до 5 жовтня.",يدعو فريق الروضة الدامجة Pat's Dahlienheim العائلات مع أطفال بين 3 و6 سنوات إلى سينما الكتب المصورة: في 15:30 قصة مفاجئة للأطفال من 3 إلى 4 سنوات، وفي 16:15 للأطفال من 5 إلى 6 سنوات، مع بسكويت ومشروبات ووقت للتعارف. ضمن الأيام بين الثقافات؛ مجانًا، التسجيل حتى 5 أكتوبر.,"Kapsayıcı kreş Pat's Dahlienheim ekibi 3-6 yaş arası çocuklu aileleri resimli kitap sinemasına davet ediyor: 15:30'da 3-4 yaş, 16:15'te 5-6 yaş için sürpriz bir hikâye; ayrıca kurabiye, içecek ve sohbet için zaman. Kültürlerarası Günler kapsamında; ücretsiz, 5 Ekim'e kadar kayıt gerekli.",https://www.dresden.de/apps_ext/IKT/event/df12e1d0-0277-429e-abb4-fef2ff889870,e2930963-ef95-48bf-82a1-61da87725fd5
,,Picture-book cinema at Neustadt Library: Ella spricht tausend Sprachen,Bilderbuchkino am Nachmittag in der Bibliothek Neustadt: „Ella spricht tausend Sprachen“,Кино по книжке с картинками в библиотеке Neustadt: «Ella spricht tausend Sprachen»,Кіно за книжкою з картинками в бібліотеці Neustadt: «Ella spricht tausend Sprachen»,سينما الكتب المصورة في مكتبة Neustadt: «Ella spricht tausend Sprachen»,Neustadt Kütüphanesi'nde resimli kitap sineması: „Ella spricht tausend Sprachen“,2026-10-07 16:30,2026-10-07 17:00,no,Bibliothek Neustadt,"Königsbrücker Straße 26, 01099 Dresden",Neustadt,Bibliothek Neustadt (Städtische Bibliotheken Dresden),4,,de,library,free,"Free, no registration",https://www.bibo-dresden.de/de/events-kids/neustadt/20261007_Neustadt_BBK.php,"Picture-book cinema about Ella, who goes to kindergarten and speaks endless languages – 'Blubbish' in the bathtub, 'Sleepish' in the morning and sometimes backwards. For children from 4; free, no registration.","Ella hat einen Bruder, geht in den Kindergarten und spricht unendlich viele Sprachen: Blubbisch in der Badewanne, Müdisch morgens im Bad und manchmal auch Rückwärts. Ab 4 Jahren; Eintritt frei, ohne Anmeldung.","Элла ходит в детский сад и говорит на бесконечном множестве языков: на «булькском» в ванне, на «сонном» по утрам и иногда задом наперёд. Для детей от 4 лет; бесплатно, без записи.","Елла ходить у дитячий садок і розмовляє безліччю мов: «булькською» у ванні, «сонною» зранку і часом навпаки. Для дітей від 4 років; безкоштовно, без реєстрації.",إيلا تذهب إلى الروضة وتتحدث لغات لا تُحصى: لغة «الفقاعات» في حوض الاستحمام، ولغة «النعاس» في الصباح، وأحيانًا بالمقلوب. للأطفال من عمر 4 سنوات؛ مجانًا ودون تسجيل.,"Ella anaokuluna gidiyor ve sayısız dil konuşuyor: küvette „Blubça“, sabahları „Uykuca“ ve bazen de tersten. 4 yaş üstü çocuklar için; ücretsiz, kayıt gerekmez.",https://www.bibo-dresden.de/de/events-kids/neustadt/20261007_Neustadt_BBK.php,e6db5cf1-996d-4aec-af1b-753dae1c35f9
,,Les petits petons – French playgroup for babies and toddlers,Französische Krabbelgruppe „Les petits petons“,Les petits petons – французская группа для малышей,Les petits petons – французька група для малюків,Les petits petons – مجموعة لعب بالفرنسية للرضّع والصغار,Les petits petons – bebekler ve küçük çocuklar için Fransızca oyun grubu,2026-10-09 10:15,2026-10-09 11:00,no,Institut français Dresden,"Lingnerallee 3, 01069 Dresden",Altstadt,,0,3,fr,languages;parent_baby,free,Free; registration requested by e-mail to the Institut français media library,https://www.institutfrancais.de/de/dresden/event/les-petits-petons-29193,"French-language playgroup for children aged 0–3 and their parents at the Institut français: playing, reading and singing in a family atmosphere – for French-speaking families and anyone who wants their child to get to know French.","Krabbelgruppe auf Französisch für Kinder von 0 bis 3 Jahren und ihre Eltern im Institut français: Es wird gespielt, gelesen und gesungen – für frankophone Familien und alle, die ihr Kind mit der französischen Sprache vertraut machen möchten. Eintritt frei, Voranmeldung erwünscht.","Группа на французском языке для детей от 0 до 3 лет и их родителей в Institut français: игры, чтение и песни в семейной атмосфере – для франкоязычных семей и всех, кто хочет познакомить ребёнка с французским языком. Бесплатно, желательна предварительная запись.","Група французькою мовою для дітей від 0 до 3 років та їхніх батьків в Institut français: ігри, читання та пісні в родинній атмосфері – для франкомовних родин і всіх, хто хоче познайомити дитину з французькою мовою. Безкоштовно, бажана попередня реєстрація.",مجموعة لعب باللغة الفرنسية للأطفال من الولادة حتى 3 سنوات وأهاليهم في Institut français: لعب وقراءة وغناء في أجواء عائلية، للعائلات الناطقة بالفرنسية ولكل من يرغب في تعريف طفله باللغة الفرنسية. مجانًا، ويُفضَّل التسجيل المسبق.,"Institut français'da 0-3 yaş arası çocuklar ve ebeveynleri için Fransızca oyun grubu: aile ortamında oyun, okuma ve şarkılar – Fransızca konuşan aileler ve çocuğunu Fransızcayla tanıştırmak isteyen herkes için. Ücretsiz, ön kayıt rica ediliyor.",https://www.institutfrancais.de/de/dresden/event/les-petits-petons-29193,4412402d-b8c2-43f3-858d-8b46cf85786e
,,Autumn holidays at Zoo Dresden: quiz rally and keeper meet-ups,Herbstferien im Zoo Dresden,Осенние каникулы в Zoo Dresden: викторина и встречи со смотрителями,Осінні канікули в Zoo Dresden: вікторина та зустрічі з доглядачами,العطلة الخريفية في حديقة حيوان دريسدن: مسابقة ألغاز ولقاءات مع حرّاس الحيوانات,Zoo Dresden'da sonbahar tatili: bilmece rallisi ve bakıcı buluşmaları,2026-10-10 08:30,2026-10-25 17:30,no,Zoo Dresden,"Tiergartenstraße 1, 01219 Dresden",Altstadt,,,,de,nature,paid,"Zoo day ticket (summer price, zoo-dresden.de/besuch-planen/preise): adults €19, children 3–16 €10; the 11:00 keeper meet-ups are free, no registration",https://www.zoo-dresden.de/veranstaltung/herbstferien-im-zoo/,"During the Saxon autumn holidays (10–25 Oct) puzzle fans can do a quiz rally through the zoo, and every day at 11:00 keepers take visitors to an animal where there is something special to see (free, no registration). Holiday workshops for school children need booking.","In den sächsischen Herbstferien vom 10. bis 25. Oktober können Rätselfans auf eine knifflige Quiz-Rallye durch den Zoo starten; täglich um 11 Uhr nehmen Tierpflegerinnen und Tierpfleger Besucher zu einem Tier mit, bei dem es etwas Besonderes zu entdecken gibt (kostenfrei, ohne Anmeldung). Zoo-Eintritt erforderlich.","В саксонские осенние каникулы с 10 по 25 октября любители загадок могут пройти квест-викторину по зоопарку, а каждый день в 11:00 смотрители ведут посетителей к животному, у которого можно увидеть что-то особенное (бесплатно, без записи). Нужен входной билет в зоопарк.","На саксонських осінніх канікулах з 10 по 25 жовтня любителі загадок можуть пройти квест-вікторину зоопарком, а щодня об 11:00 доглядачі ведуть відвідувачів до тварини, біля якої можна побачити щось особливе (безкоштовно, без реєстрації). Потрібен вхідний квиток до зоопарку.",خلال العطلة الخريفية في ساكسونيا من 10 إلى 25 أكتوبر، يمكن لمحبي الألغاز خوض مسابقة ألغاز عبر حديقة الحيوان، وكل يوم في الساعة 11:00 يصطحب حرّاس الحيوانات الزوار إلى حيوان فيه شيء مميز للاكتشاف (مجانًا ودون تسجيل). يلزم شراء تذكرة دخول الحديقة.,"10-25 Ekim Saksonya sonbahar tatilinde bilmece meraklıları hayvanat bahçesinde zorlu bir quiz rallisine katılabilir; her gün saat 11:00'de hayvan bakıcıları ziyaretçileri özel bir şey görülebilecek bir hayvana götürüyor (ücretsiz, kayıt gerekmez). Hayvanat bahçesi giriş bileti gerekir.",https://www.zoo-dresden.de/veranstaltung/herbstferien-im-zoo/,cb2045ab-bc45-4575-b409-886aafde8580
,,Code Week Highlights – Coding for Families,Code Week Highlights – Coding for Families,Code Week Highlights — программирование для всей семьи,Code Week Highlights — програмування для всієї родини,Code Week Highlights – البرمجة للعائلات,Code Week Highlights – Aileler için kodlama,2026-10-10 11:00,2026-10-10 18:00,no,Zentralbibliothek im Kulturpalast,"Schloßstraße 2, 01067 Dresden",Altstadt,,6,,de,stem;library,free,"Free, drop in (no registration)",https://www.bibo-dresden.de/de/events-kids/zb/20261010_ZB_Code-Week-Highlights.php,"Family event by CrossMedia Tour e.V. at the Central Library: try technology, crafts and programming together, no prior knowledge needed – from 'cursing plants' to small craft projects and coding stations. For ages 6+, younger siblings welcome. Free, drop in.","Familienevent des CrossMedia Tour e. V. in der Zentralbibliothek: gemeinsam Technik, Basteln und Programmieren ausprobieren, ganz ohne Vorkenntnisse – von fluchenden Pflanzen über kleine Bastelprojekte bis zu Codingstationen. Ab 6 Jahren, jüngere Geschwister willkommen. Kostenfrei, ohne Anmeldung.","Семейное мероприятие CrossMedia Tour e. V. в Центральной библиотеке: вместе пробуем технику, поделки и программирование без подготовки — от «ругающихся растений» до небольших поделок и станций кодинга. От 6 лет, младшие братья и сёстры тоже приглашаются. Бесплатно, без записи.","Родинний захід CrossMedia Tour e. V. у Центральній бібліотеці: разом пробуємо техніку, творчість і програмування без попередніх знань — від «лайливих рослин» до невеликих виробів і станцій кодингу. Від 6 років, молодші брати й сестри теж вітаються. Безкоштовно, без реєстрації.",فعالية عائلية من CrossMedia Tour e. V. في المكتبة المركزية: جرّبوا التقنية والأشغال اليدوية والبرمجة معًا دون معرفة مسبقة – من «النباتات الشتّامة» إلى مشاريع يدوية صغيرة ومحطات برمجة. من عمر 6 سنوات، والإخوة الأصغر مرحب بهم. مجانًا ودون تسجيل.,"Merkez Kütüphane'de CrossMedia Tour e. V.'nin aile etkinliği: ön bilgi gerekmeden teknoloji, el işi ve programlamayı birlikte deneyin – ""küfreden bitkiler""den küçük el işi projelerine ve kodlama istasyonlarına. 6 yaş üstü; küçük kardeşler de davetli. Ücretsiz, kayıt gerekmez.",https://www.bibo-dresden.de/de/events-kids/zb/20261010_ZB_Code-Week-Highlights.php,36a35e9d-e853-413e-9820-93adee1f2ee8
,,The Three Little Pigs – puppet show at Gorbitz Library,Die drei kleinen Schweinchen mit dem Puppentheater Glöckchen,«Три поросёнка» — кукольный спектакль в библиотеке Горбиц,«Три поросятка» — ляльковий спектакль у бібліотеці Горбіц,«الخنازير الثلاثة الصغيرة» – عرض دمى في مكتبة غوربيتس,Üç Küçük Domuzcuk – Gorbitz Kütüphanesi'nde kukla gösterisi,2026-10-10 11:00,2026-10-10 11:40,no,Bibliothek Gorbitz,"Merianplatz 4, 01169 Dresden",Cotta,,3,,de,theatre;library,free,Free; registration by e-mail with Bibliothek Gorbitz,https://www.bibo-dresden.de/de/events-kids/gorbitz/20261010_Gorbitz_Puppentheater-Gloeckchen.php,Rod-puppet show by Puppentheater Glöckchen (founded 1984): the three little pigs can only outwit the big bad wolf by working together – and end up with a nice house. For children from 3. Free; register with the library by e-mail.,Puppenspiel mit Stabfiguren vom Puppentheater Glöckchen (gegründet 1984): Die drei Schweinchen können den bösen Wolf nur gemeinsam überlisten – und haben am guten Ende ein schönes Haus. Für Kinder ab 3 Jahren. Eintritt frei; Anmeldung per E-Mail bei der Bibliothek Gorbitz.,Спектакль с тростевыми куклами от Puppentheater Glöckchen (основан в 1984 году): три поросёнка могут перехитрить злого волка только вместе — и в итоге у них красивый дом. Для детей от 3 лет. Бесплатно; запись по e-mail в библиотеке.,Вистава з тростинними ляльками від Puppentheater Glöckchen (засновано 1984 року): троє поросят можуть перехитрити злого вовка тільки разом — і врешті мають гарний будинок. Для дітей від 3 років. Безкоштовно; реєстрація через e-mail бібліотеки.,عرض دمى بالعصي من Puppentheater Glöckchen (تأسس عام 1984): لا تستطيع الخنازير الثلاثة التغلب على الذئب الشرير إلا معًا – وفي النهاية يحصلون على بيت جميل. للأطفال من عمر 3 سنوات. مجانًا؛ التسجيل بالبريد الإلكتروني لدى المكتبة.,Puppentheater Glöckchen'den (1984'te kuruldu) çubuk kukla gösterisi: üç küçük domuzcuk kötü kurdu ancak birlikte alt edebilir – ve sonunda güzel bir evleri olur. 3 yaş üstü çocuklar için. Ücretsiz; kütüphaneye e-postayla kayıt.,https://www.bibo-dresden.de/de/events-kids/gorbitz/20261010_Gorbitz_Puppentheater-Gloeckchen.php,e19a245b-8c9b-4d9f-8440-230f1d5dc1ba
,,Autumn festival with lantern parade at Familienzentrum PAULINE,Herbstfest mit Lampionumzug,Осенний праздник с шествием фонариков в Familienzentrum PAULINE,Осіннє свято з ходою ліхтариків у Familienzentrum PAULINE,مهرجان الخريف مع موكب الفوانيس في Familienzentrum PAULINE,Familienzentrum PAULINE'de fener alaylı sonbahar şenliği,2026-10-10 15:00,2026-10-10 18:00,no,Familienzentrum PAULINE,"Papstdorfer Straße 41, 01277 Dresden",Blasewitz,,,,de,art;family_cafe,free,Free admission,https://www.dresden.de/apps_ext/IKT/event/5f062f6c-bd82-4f62-b454-9f89a527831b,"Family festival 'for families of all cultures' with a lantern parade, games, crafts, face painting, wheel of fortune, cake and barbecue. Bring a lantern light if you can. Intercultural Days. Free.","Familienfest mit Lampionumzug, vielen Spielen und Aktionen, Basteln, Kinderschminken, Glücksrad sowie Kuchen und Grill – ein Fest für Familien aller Kulturen. Am besten ein Laternenlicht mitbringen! Interkulturelle Tage, Familienzentrum PAULINE. Eintritt frei.","Семейный праздник «для семей всех культур»: шествие с фонариками, игры, поделки, аквагрим, колесо фортуны, пироги и гриль. По возможности возьмите с собой фонарик. Межкультурные дни. Вход свободный.","Родинне свято «для родин усіх культур»: хода з ліхтариками, ігри, творчість, аквагрим, колесо фортуни, пироги та гриль. За можливості візьміть із собою ліхтарик. Міжкультурні дні. Вхід вільний.",مهرجان عائلي «لعائلات من كل الثقافات» مع موكب الفوانيس وألعاب وأشغال يدوية ورسم على الوجه وعجلة الحظ وكعك وشواء. أحضروا فانوسًا إن أمكن. ضمن الأيام بين الثقافات. الدخول مجاني.,"""Tüm kültürlerden aileler için"" şenlik: fener alayı, oyunlar, el işleri, yüz boyama, çarkıfelek, kek ve mangal. Mümkünse bir fener getirin. Kültürlerarası Günler. Giriş ücretsiz.",https://www.dresden.de/apps_ext/IKT/event/5f062f6c-bd82-4f62-b454-9f89a527831b,410a324e-c533-441a-bccb-26683d2098ea
,,The Gruffalo Show with Axel Scheffler,Die Grüffelo-Show mit Axel Scheffler,Шоу Груффало с Акселем Шеффлером,Шоу Ґруффало з Акселем Шеффлером,عرض غروفالو مع أكسل شيفلر,Axel Scheffler ile Gruffalo Gösterisi,2026-10-12 16:00,2026-10-12 17:00,no,"Zentralbibliothek im Kulturpalast, Kinderbibliothek (1. OG)","Schloßstraße 2, 01067 Dresden",Altstadt,,3,,de,library;art,free,"Free, no registration",https://www.bibo-dresden.de/de/events-kids/zb/20261012_ZB_Grueffelo-Show_Scheffler.php,"Illustrator Axel Scheffler reveals the new Gruffalo story about the Gruffalo's granny, draws live during the show and signs books afterwards. In the children's library (1st floor) of the Central Library. For children from 3. Free, no registration.","Illustrator Axel Scheffler lüftet das Geheimnis der neuen Grüffelo-Geschichte um die Grüffelo-Oma, zeichnet während der Show live und signiert im Anschluss Bücher. In der Kinderbibliothek (1. OG) der Zentralbibliothek. Für Kinder ab 3 Jahren. Eintritt frei, ohne Anmeldung.","Иллюстратор Аксель Шеффлер представляет новую историю о бабушке Груффало, рисует прямо во время шоу, а после подписывает книги. В детской библиотеке (2-й этаж) Центральной библиотеки. Для детей от 3 лет. Бесплатно, без записи.","Ілюстратор Аксель Шеффлер представляє нову історію про бабусю Ґруффало, малює просто під час шоу, а після підписує книжки. У дитячій бібліотеці (2-й поверх) Центральної бібліотеки. Для дітей від 3 років. Безкоштовно, без реєстрації.",يكشف الرسام أكسل شيفلر قصة غروفالو الجديدة عن جدة غروفالو، ويرسم مباشرة خلال العرض ويوقّع الكتب بعده. في مكتبة الأطفال (الطابق الأول) بالمكتبة المركزية. للأطفال من عمر 3 سنوات. مجانًا ودون تسجيل.,"İllüstratör Axel Scheffler, Gruffalo'nun büyükannesiyle ilgili yeni Gruffalo hikâyesini tanıtıyor, gösteri sırasında canlı çiziyor ve ardından kitap imzalıyor. Merkez Kütüphane'nin çocuk bölümünde (1. kat). 3 yaş üstü çocuklar için. Ücretsiz, kayıt gerekmez.",https://www.bibo-dresden.de/de/events-kids/zb/20261012_ZB_Grueffelo-Show_Scheffler.php,50885d12-0ced-40e8-bcae-49ce706502db
,,Kuscheltierzirkus – puppet theatre with your own cuddly toy (tjg.),Kuscheltierzirkus – Puppentheater im tjg.,Kuscheltierzirkus – кукольный спектакль с вашей мягкой игрушкой (tjg.),Kuscheltierzirkus – ляльковий спектакль з вашою м'якою іграшкою (tjg.),Kuscheltierzirkus – مسرح دمى مع دميتك المحشوة (tjg.),Kuscheltierzirkus – kendi pelüş oyuncağınızla kukla tiyatrosu (tjg.),2026-10-18 11:00,2026-10-18 11:50,no,"tjg. theater junge generation, Studiobühne","Kraftwerk Mitte 1, 01067 Dresden",Altstadt,,4,,de,theatre,paid,"Adults €16, children up to 14 €8, reduced €8; with tjg. Familiencard adults €8, children €5 (tjg. price list)",https://www.tjg-dresden.de/inszenierung/kuscheltierzirkus,"Bring your own cuddly toy: in this puppet show the audience's cuddly toys become daring circus stars who do magic tricks and fly through hoops, with live music. For children from 4; 50 minutes (also at 16:00).","Bringt alle ein eigenes Kuscheltier mit: Im Puppentheater von Uwe Steinbach werden die Kuscheltiere des Publikums zu mutigen Zirkusstars, machen Zaubertricks und fliegen durch Reifen – mit Live-Musik. Ab 4 Jahren, Spieldauer 50 Minuten (auch um 16 Uhr).","Принесите свою мягкую игрушку: в кукольном спектакле игрушки зрителей становятся смелыми звёздами цирка, показывают фокусы и летают сквозь обручи – под живую музыку. Для детей от 4 лет, 50 минут (также в 16:00).","Принесіть свою м'яку іграшку: у ляльковому спектаклі іграшки глядачів стають сміливими зірками цирку, показують фокуси й літають крізь обручі – під живу музику. Для дітей від 4 років, 50 хвилин (також о 16:00).",أحضروا دميتكم المحشوة: في عرض الدمى هذا تتحول دمى الجمهور إلى نجوم سيرك شجعان يؤدون الخدع السحرية ويطيرون عبر الأطواق، مع موسيقى حية. للأطفال من عمر 4 سنوات، المدة 50 دقيقة (وأيضًا في الساعة 16:00).,"Kendi pelüş oyuncağınızı getirin: bu kukla gösterisinde seyircilerin oyuncakları cesur sirk yıldızlarına dönüşüyor, sihirbazlık yapıyor ve çemberlerden uçuyor – canlı müzik eşliğinde. 4 yaş üstü çocuklar için, 50 dakika (ayrıca 16:00'da).",https://www.tjg-dresden.de/inszenierung/kuscheltierzirkus,d5340918-ca39-41a8-b56f-30f29d6852aa
